file_name,num_classes,num_methods,num_reflections,num_file_operations,num_network_operations
AbstractAutomationTestCase.java,1,7,0,0,0
AbstractBackEndServerController.java,1,1,0,0,0
AbstractConnectionDebug.java,1,3,0,0,0
AbstractDBMediator.java,1,22,0,0,0
AbstractDBMediatorFactory.java,1,8,0,0,0
AbstractDBMediatorSerializer.java,1,4,0,0,0
AbstractDispatcher.java,1,7,0,0,0
AbstractEipLibTestCase.java,1,1,0,0,0
AbstractEndpoint.java,1,48,0,0,0
AbstractEvaluatorSerializer.java,1,2,0,0,0
AbstractFileName.java,1,28,0,0,0
AbstractKeyStoreLoader.java,1,3,0,0,0
AbstractLibTestCase.java,1,1,0,0,0
AbstractListMediator.java,1,10,0,0,0
AbstractListMediatorFactory.java,1,1,0,0,0
AbstractListMediatorSerializer.java,1,1,0,0,0
AbstractMediator.java,1,22,0,0,0
AbstractMediatorFactory.java,1,7,0,0,0
AbstractMediatorSerializer.java,1,9,0,0,0
AbstractMediatorTestCase.java,1,1,0,0,0
AbstractMessageProcessor.java,1,12,0,0,0
AbstractMessageStore.java,1,16,0,0,0
AbstractRegistry.java,1,6,0,0,0
AbstractRESTProcessor.java,1,4,0,0,0
AbstractSecretCallbackHandler.java,1,3,0,0,0
AbstractSplitMediatorTestCase.java,1,2,0,0,0
AbstractStartup.java,1,6,0,0,0
AbstractSynapseArtifactDeployer.java,1,20,0,0,0
AbstractSynapseObserver.java,1,16,0,0,0
AbstractTestCase.java,1,6,0,0,0
AbstractVersionStrategy.java,1,3,0,0,0
AbstractXarMojo.java,1,11,0,0,0
Access.java,32,57,1,0,0
AccessConstants.java,1,0,0,0,0
AccessHandler.java,1,2,0,0,0
AccessLogger.java,1,5,0,0,0
AccessTimeUtil.java,2,8,0,0,0
ActiveMQController.java,1,2,0,0,0
AddressEndpoint.java,1,3,0,0,0
AddressEndpointFactory.java,1,3,0,0,0
AddressEndpointSerializationTest.java,1,5,0,0,0
AddressEndpointSerializer.java,1,2,0,0,0
Aggregate.java,2,20,0,0,0
AggregateMediator.java,1,22,0,0,0
AggregateMediatorFactory.java,1,2,0,0,0
AggregateMediatorSerializationTest.java,1,1,0,0,0
AggregateMediatorSerializer.java,1,2,0,0,0
AlgorithmContext.java,1,5,0,0,0
AMQPConsumer.java,1,9,0,0,0
AMQPConsumerClient.java,1,1,0,0,0
AMQPOutTransportInfo.java,1,3,0,0,0
AMQPProducerClient.java,1,4,0,0,0
AMQPSender.java,1,7,0,0,0
AMQPSenderCache.java,1,5,0,0,0
AMQPSenderFactory.java,1,1,0,0,0
AMQPSimpleConsumerTask.java,2,2,0,0,0
AMQPTransportBuffers.java,1,5,0,0,0
AMQPTransportConnectionFactory.java,1,9,0,0,0
AMQPTransportConnectionFactoryManager.java,1,7,0,0,0
AMQPTransportConstant.java,1,0,0,0,0
AMQPTransportEndpoint.java,1,3,0,0,0
AMQPTransportException.java,1,0,0,0,0
AMQPTransportHABrokerEntry.java,1,2,0,0,0
AMQPTransportHAEntry.java,1,3,0,0,0
AMQPTransportListener.java,1,7,0,0,0
AMQPTransportMessage.java,1,18,0,0,0
AMQPTransportPollingTask.java,4,53,0,0,0
AMQPTransportPollingTaskFactory.java,1,2,0,0,0
AMQPTransportProducerTx.java,1,2,0,0,0
AMQPTransportReconnectHandler.java,1,3,0,0,0
AMQPTransportSender.java,1,6,0,0,0
AMQPTransportUtils.java,1,15,0,0,0
AMQPTransportUtilsTest.java,1,13,0,0,0
AMQPTwoWayProducerClient.java,1,2,0,0,0
AndEvaluator.java,1,4,0,0,0
AndFactory.java,1,2,0,0,0
AndSerializer.java,1,1,0,0,0
AnnotatedCommand.java,1,0,0,0,0
AnnotatedCommand2.java,1,2,0,0,0
AnnotatedCommandMediator.java,1,5,3,0,0
AnnotatedCommandMediatorFactory.java,1,2,0,0,0
AnnotatedCommandMediatorTest.java,1,3,0,0,0
AnonymousListMediator.java,1,1,0,0,0
AnonymousListMediatorFactory.java,1,1,0,0,0
AnonymousListMediatorSerializer.java,1,2,0,0,0
AnonymousServiceFactory.java,1,6,0,0,0
API.java,1,26,0,0,0
APIDeployer.java,1,4,0,0,0
APIDispatcherTest.java,1,8,0,0,0
APIFactory.java,1,4,0,0,0
APISerializationTest.java,1,8,0,0,0
APISerializer.java,1,1,0,0,0
ArtifactFile.java,1,3,0,0,0
AspectConfigurable.java,0,2,0,0,0
AspectConfiguration.java,1,4,0,0,0
AspectConfigurationDetectionStrategy.java,1,1,0,0,0
AsymmetricCipher.java,1,1,0,0,0
AsyncCallback.java,1,9,0,0,0
AXIOMResultBuilder.java,1,3,0,0,0
AXIOMResultBuilderFactory.java,1,1,0,0,0
AXIOMSourceBuilder.java,1,2,0,0,0
AXIOMSourceBuilderFactory.java,1,1,0,0,0
AXIOMUtils.java,1,1,0,0,0
Axis2BackEndServerController.java,2,7,0,0,0
Axis2BlockingClient.java,1,8,0,0,0
Axis2ClientConfiguration.java,1,6,0,0,0
Axis2FlexibleMEPClient.java,1,5,0,0,0
Axis2HttpRequest.java,1,20,0,0,0
Axis2LoadBalanceMembershipHandler.java,1,6,0,0,0
Axis2MessageContext.java,1,63,0,0,0
Axis2MessageContextTest.java,1,2,0,0,0
Axis2Sender.java,1,3,0,0,0
Axis2SynapseController.java,1,35,0,0,0
Axis2SynapseEnvironment.java,1,22,0,0,0
Axis2TransportHelper.java,1,7,0,0,0
AxisFIXException.java,1,0,0,0,0
Base64DecodeFunction.java,1,2,0,0,0
Base64DecodeFunctionTest.java,1,3,0,0,0
Base64EncodeFunction.java,1,2,0,0,0
BaseCipher.java,1,7,0,0,0
BaseConfiguration.java,1,9,0,0,0
BasicEndpointTest.java,2,10,0,0,0
BasicHttpClient.java,1,4,0,0,0
BeanConstants.java,0,0,0,0,0
BeanMediator.java,1,19,0,0,0
BeanMediatorFactory.java,1,6,0,0,0
BeanMediatorSerializationTest.java,1,7,0,0,0
BeanMediatorSerializer.java,1,7,0,0,0
BeanMediatorTest.java,1,8,0,0,0
BeanUtils.java,1,2,1,0,0
BeforeExecuteHandler.java,0,1,0,0,0
BinaryExtractMediator.java,1,14,0,0,0
BinaryRelayBuilder.java,1,2,0,0,0
BlockingClientUtils.java,1,5,0,0,0
BlockingMessageSender.java,1,7,0,0,0
Bootstrap.java,1,2,2,0,0
BufferFactory.java,1,2,0,0,0
CACertsLoader.java,1,2,0,0,0
CacheController.java,1,6,0,0,0
CacheControllerMBean.java,0,6,0,0,0
CacheEntry.java,1,4,0,0,0
CacheManager.java,3,8,0,0,0
CacheMediator.java,1,27,0,0,0
CacheMediatorFactory.java,1,3,0,0,0
CacheMediatorSerializationTest.java,1,3,0,0,0
CacheMediatorSerializer.java,1,2,0,0,0
CalloutBlockMediator.java,1,18,0,0,0
CalloutMediator.java,1,35,0,0,0
CalloutMediatorFactory.java,1,2,0,0,0
CalloutMediatorSerializationTest.java,1,8,0,0,0
CalloutMediatorSerializer.java,1,2,0,0,0
CertificatePathValidator.java,1,2,0,0,0
CertificateVerificationConfig.java,1,2,0,0,0
CertificateVerificationException.java,1,0,0,0,0
CipherFactory.java,1,3,0,0,0
CipherInformation.java,1,14,0,0,0
CipherOperationMode.java,0,0,0,0,0
CipherTool.java,1,12,0,0,0
ClassEndpointFactory.java,1,3,0,0,0
ClassMediator.java,1,8,0,0,0
ClassMediatorFactory.java,1,2,0,0,0
ClassMediatorSerializationTest.java,1,3,0,0,0
ClassMediatorSerializer.java,1,2,0,0,0
ClassMediatorTest.java,1,4,0,0,0
ClassMediatorTestMediator.java,1,6,0,0,0
ClasspathURLStreamHandler.java,2,4,0,0,0
ClassScanner.java,1,5,0,0,0
ClassScannerException.java,1,0,0,0,0
ClassVisitor.java,0,2,0,0,0
ClientConnectionDebug.java,1,9,1,0,0
ClientHandler.java,1,32,1,0,0
ClientWorker.java,1,3,0,0,0
CloneMediator.java,1,13,0,0,0
CloneMediatorFactory.java,1,2,0,0,0
CloneMediatorSerializationTest.java,1,4,0,0,0
CloneMediatorSerializer.java,1,2,0,0,0
CloneMediatorTest.java,1,4,0,0,0
Command.java,0,1,0,0,0
ComponentType.java,0,0,0,0,0
Condition.java,1,4,0,0,0
ConditionalRoute.java,1,7,0,0,0
ConditionalRouterMediator.java,1,6,0,0,0
ConditionalRouterMediatorFactory.java,1,2,0,0,0
ConditionalRouterMediatorSerializationTest.java,1,4,0,0,0
ConditionalRouterMediatorSerializer.java,1,2,0,0,0
ConditionFactory.java,1,2,0,0,0
ConditionSerializer.java,1,1,0,0,0
ConfigurationFactory.java,0,3,0,0,0
ConfigurationFactoryAndSerializerFinder.java,1,11,0,0,0
ConfigurationMigrator.java,1,3,0,0,0
ConfigurationSerializer.java,0,2,0,0,0
ConnectCallback.java,1,6,0,0,0
ConnectionPool.java,1,4,0,0,0
ConnectionsView.java,1,21,0,0,0
ConnectionsViewMBean.java,0,11,0,0,0
Constants.java,0,0,0,0,0
ContentBasedRouterMediator.java,1,4,0,0,0
ControlledByteBuffer.java,1,15,0,0,0
Counter.java,1,2,0,0,0
CRLCache.java,2,15,0,0,0
CRLVerifier.java,1,4,0,0,0
CRLVerifierTest.java,1,4,1,0,0
CustomJAXPURIResolver.java,1,1,0,0,0
CustomURIBasedDispatcher.java,1,3,0,0,0
CustomWSDLLocator.java,1,5,0,0,0
CustomXmlSchemaURIResolver.java,1,1,0,0,0
DataSourceConstants.java,1,0,0,0,0
DataSourceFactory.java,1,3,0,0,0
DataSourceFinder.java,1,2,0,0,0
DataSourceInformation.java,1,65,0,0,0
DataSourceInformationFactory.java,1,2,0,0,0
DataSourceInformationListFactory.java,1,1,0,0,0
DataSourceInformationListSerializer.java,1,1,0,0,0
DataSourceInformationRepository.java,1,9,0,0,0
DataSourceInformationRepositoryFactory.java,1,3,0,0,0
DataSourceInformationRepositoryListener.java,0,3,0,0,0
DataSourceInformationSerializer.java,1,2,0,0,0
DatasourceMBeanRepository.java,1,5,0,0,0
DataSourceRepository.java,0,6,0,0,0
DataSourceRepositoryHolder.java,1,7,0,0,0
DataSourceRepositoryManager.java,1,6,0,0,0
DBLookupMediator.java,1,1,0,0,0
DBLookupMediatorFactory.java,1,2,0,0,0
DBLookupMediatorSerializationTest.java,1,3,0,0,0
DBLookupMediatorSerializer.java,1,2,0,0,0
DBLookupMediatorTest.java,1,5,0,0,0
DBPoolView.java,1,9,0,0,0
DBPoolViewMBean.java,0,5,0,0,0
DBReportMediator.java,1,3,0,0,0
DBReportMediatorFactory.java,1,2,0,0,0
DBReportMediatorSerializationTest.java,1,3,0,0,0
DBReportMediatorSerializer.java,1,2,0,0,0
DBReportMediatorTest.java,1,4,0,0,0
DecryptionProvider.java,0,1,0,0,0
DefaultConsumer.java,2,3,0,0,0
DefaultDispatcher.java,1,1,0,0,0
DefaultEndpoint.java,1,3,0,0,0
DefaultEndpointFactory.java,1,5,0,0,0
DefaultEndpointSerializationTest.java,1,5,0,0,0
DefaultEndpointSerializer.java,1,3,0,0,0
DefaultHttpGetProcessor.java,1,17,0,0,0
DefaultInMemorySubscriptionManager.java,1,15,0,0,0
DefaultStrategy.java,1,2,0,0,0
DefaultTaskJobDetailFactory.java,1,1,0,0,0
DefaultTaskTriggerFactory.java,1,1,0,0,0
DeferredMessageBuilder.java,1,3,0,0,0
DefinitionFactory.java,0,1,0,0,0
DeliveryAgent.java,1,5,0,0,0
DerbyServerController.java,1,3,0,0,0
DetachMediator.java,1,5,0,0,0
DetachMediatorFactory.java,1,2,0,0,0
DiscountQuoteMediator.java,1,8,0,0,0
Dispatcher.java,0,6,0,0,0
DispatcherHelper.java,0,1,0,0,0
DOOMResultBuilder.java,1,5,0,0,0
DOOMResultBuilderFactory.java,1,1,0,0,0
DOOMSourceBuilder.java,1,2,0,0,0
DOOMSourceBuilderFactory.java,1,1,0,0,0
DropMediator.java,1,2,0,0,0
DropMediatorFactory.java,1,2,0,0,0
DropMediatorSerializationTest.java,1,1,0,0,0
DropMediatorSerializer.java,1,2,0,0,0
DropMediatorTest.java,1,1,0,0,0
DummyTask.java,1,7,0,0,0
DynamicAxisOperation.java,2,5,0,0,0
DynamicLoadbalanceEndpoint.java,2,24,0,0,0
DynamicLoadbalanceEndpointFactory.java,1,2,0,0,0
DynamicLoadbalanceEndpointSerializationTest.java,1,3,0,0,0
DynamicLoadbalanceEndpointSerializer.java,1,1,0,0,0
DynamicLoadbalanceFaultHandler.java,1,3,0,0,0
DynamicResourceTest.java,1,3,0,0,0
DynamicRouterMediator.java,1,8,0,0,0
EchoHttpServerController.java,4,6,0,0,0
EIPConstants.java,1,0,0,0,0
EipLibTest.java,1,2,0,0,0
EIPUtils.java,1,1,0,0,0
EJBConstants.java,0,0,0,0,0
EJBMediator.java,1,20,0,0,0
EJBMediatorFactory.java,1,2,0,0,0
EJBMediatorSerializationTest.java,1,5,0,0,0
EJBMediatorSerializer.java,1,3,2,0,0
EncodingHelper.java,1,2,0,0,0
EncodingType.java,0,0,0,0,0
EncryptionProvider.java,0,1,0,0,0
EndDelimitedProtocol.java,2,7,0,0,0
EndDelimitedProtocolTest.java,1,1,0,0,0
Endpoint.java,0,13,0,0,0
EndpointContext.java,1,13,0,0,0
EndpointDefinition.java,1,66,0,0,0
EndpointDefinitionFactory.java,1,3,0,0,0
EndpointDefinitionSerializer.java,1,1,0,0,0
EndpointDeployer.java,1,4,0,0,0
EndpointFactory.java,1,13,0,0,0
EndpointSerializer.java,1,8,0,0,0
EndpointView.java,1,66,0,0,0
EndpointViewMBean.java,0,41,0,0,0
EnqueueMediator.java,1,8,0,0,0
EnqueueMediatorFactory.java,1,2,0,0,0
EnqueueMediatorSerializationTest.java,1,2,0,0,0
EnqueueMediatorSerializer.java,1,2,0,0,0
EnrichMediator.java,1,5,0,0,0
EnrichMediatorFactory.java,1,5,0,0,0
EnrichMediatorSerializationTest.java,1,11,0,0,0
EnrichMediatorSerializer.java,1,5,0,0,0
EnrichMediatorTest.java,1,4,0,0,0
EnterpriseBeanstalk.java,1,13,0,0,0
EnterpriseBeanstalkConstants.java,0,0,0,0,0
EnterpriseBeanstalkManager.java,1,4,0,0,0
EnterpriseBeanstalkView.java,1,9,0,0,0
EnterpriseBeanstalkViewMBean.java,0,8,0,0,0
Entry.java,1,29,0,0,0
EntryFactory.java,1,4,0,0,0
EntrySerializationTest.java,1,3,0,0,0
EntrySerializer.java,1,3,0,0,0
EqualBuilderTest.java,1,4,0,0,0
EqualEvaluator.java,1,6,0,0,0
EqualFactory.java,1,1,0,0,0
EqualSerializer.java,1,1,0,0,0
EqualSerializerTest.java,1,4,0,0,0
ErrorCodes.java,1,0,0,0,0
ErrorLog.java,1,9,0,0,0
ErrorLogFactory.java,1,2,0,0,0
Evaluator.java,0,2,0,0,0
EvaluatorConstants.java,1,0,0,0,0
EvaluatorContext.java,1,12,0,0,0
EvaluatorException.java,1,0,0,0,0
EvaluatorFactory.java,0,1,0,0,0
EvaluatorFactoryFinder.java,1,4,0,0,0
EvaluatorSerializer.java,0,1,0,0,0
EvaluatorSerializerFinder.java,1,2,0,0,0
EventFilterTest.java,1,2,0,0,0
EventPublisherMediator.java,1,3,0,0,0
EventPublisherMediatorFactory.java,1,2,0,0,0
EventPublisherMediatorSerializer.java,1,2,0,0,0
EventSampleClient.java,1,7,0,0,0
EventSender.java,1,3,0,0,0
EventSourceDeployer.java,1,4,0,0,0
EventSourceFactory.java,1,4,0,0,0
EventSourceSerializer.java,1,1,0,0,0
EventSubscriber.java,1,3,0,0,0
Execute.java,0,0,0,0,0
ExecutorConstants.java,1,0,0,0,0
ExpandingMessageFormatter.java,1,9,0,0,0
ExtensionDeployer.java,1,8,0,0,0
FailoverEndpoint.java,1,5,0,0,0
FailoverEndpointFactory.java,1,2,0,0,0
FailoverEndpointSerializer.java,1,1,0,0,0
FastStockQuoteService.java,1,2,0,0,0
FaultHandler.java,1,5,0,0,0
FaultMediator.java,1,34,0,0,0
FaultMediatorFactory.java,1,2,0,0,0
FaultMediatorSerializationTest.java,1,7,0,0,0
FaultMediatorSerializer.java,1,2,0,0,0
FaultMediatorTest.java,1,3,0,0,0
FieldOrderingTest.java,1,1,0,0,0
FileBaseSecretRepository.java,1,4,0,0,0
FileBaseSecretRepositoryProvider.java,1,1,0,0,0
FileObjectDataSource.java,1,5,0,0,0
FilterMediator.java,1,19,0,0,0
FilterMediatorFactory.java,1,2,0,0,0
FilterMediatorSerializationTest.java,1,7,0,0,0
FilterMediatorSerializer.java,1,2,0,0,0
FilterMediatorTest.java,1,10,0,0,0
FIXApplicationFactory.java,1,1,0,0,0
FIXClient.java,1,5,0,0,0
FIXConstants.java,1,0,0,0,0
FixedByteArrayOutputStream.java,1,2,0,0,0
FixedQueueTest.java,1,7,0,0,0
FixedSizeQueue.java,2,23,0,0,0
FIXIncomingMessageHandler.java,2,16,0,0,0
FIXMessageBuilder.java,1,2,0,0,0
FIXMessageBuilderTest.java,1,1,0,0,0
FIXMessageFormatter.java,1,5,0,0,0
FIXMessageFormatterTest.java,1,1,0,0,0
FIXOutgoingMessageHandler.java,1,5,0,0,0
FIXOutTransportInfo.java,1,3,0,0,0
FIXSessionFactory.java,1,17,0,0,0
FIXTransportListener.java,1,4,0,0,0
FIXTransportSender.java,1,13,0,0,0
FIXUtils.java,1,20,0,0,0
ForwardingJob.java,1,3,0,0,0
ForwardingProcessorConstants.java,1,0,0,0,0
FtpFileNameParser.java,1,2,0,0,0
FtpFileProvider.java,1,3,0,0,0
GenericJMSClient.java,1,8,0,0,0
GetFullQuote.java,1,2,0,0,0
GetFullQuoteResponse.java,1,2,0,0,0
GetMarketActivity.java,1,2,0,0,0
GetMarketActivityResponse.java,1,2,0,0,0
GetPropertyFunction.java,1,4,0,0,0
GetQuote.java,1,2,0,0,0
GetQuoteResponse.java,1,29,0,0,0
GetQuoteResponseWrapper.java,1,2,0,0,0
GetQuoteWrapper.java,1,2,0,0,0
GlobalRequestCountHandler.java,1,1,0,0,0
GroovyScriptMediatorTest.java,1,1,0,0,0
GzipMessageFormatterDecorator.java,1,6,0,0,0
Handler.java,0,2,0,0,0
HandlerConstants.java,1,0,0,0,0
HandlerUtil.java,1,3,0,0,0
HardCodedSecretCallbackHandler.java,1,1,0,0,0
HeaderMediator.java,1,20,0,0,0
HeaderMediatorConfigurationTest.java,1,7,0,0,0
HeaderMediatorFactory.java,1,4,0,0,0
HeaderMediatorSerializationTest.java,1,3,0,0,0
HeaderMediatorSerializer.java,1,2,0,0,0
HeaderMediatorTest.java,1,6,0,0,0
HeaderTextRetriever.java,1,2,0,0,0
HessianConstants.java,1,0,0,0,0
